id,evidence_inference_prompt_id,pmcid,outcome,intervention,comparator,outcome_type,intervention_events,intervention_group_size,comparator_events,comparator_group_size,intervention_mean,intervention_standard_deviation,comparator_mean,comparator_standard_deviation,notes,is_data_in_figure_graphics,is_relevant_data_in_table,is_table_in_graphic_format,is_data_complete,tiktoken_with_attributes_xml_token_num,tiktoken_without_attributes_xml_token_num,tiktoken_without_attributes_markdown_token_num,split
30,5576,3003523,Short-Form 36-Items improvement,Certolizumab 200 mg,Control,continuous,,393,,199,38.1,9.5,31.5,7.4,Used values for PCS after 52 weeks (final timepoint).,FALSE,TRUE,FALSE,TRUE,12247,10091,7520,TEST
31,5577,3003523,Short-Form 36-Items improvement,Certolizumab 400 mg,Control,continuous,,390,,199,38.9,8.9,31.5,7.4,Used values for PCS after 52 weeks (final timepoint).,FALSE,TRUE,FALSE,TRUE,12247,10091,7520,TEST
32,5580,3003523,Pain,Certolizumab 400 mg,Control,continuous,,390,,199,53.9,22.2,34,20.1,Used values for weeks 52 (final timepoint).,FALSE,TRUE,FALSE,TRUE,12247,10091,7520,TEST
33,5575,3003523,Health-related quality of life improvement - Short-Form 36-Items improvement,Certolizumab 200 mg,Control,continuous,,393,,199,38.1,9.5,31.5,7.4,This outcome is measured by Short-Form 36-Items (SF-36).,FALSE,FALSE,FALSE,TRUE,12247,10091,7520,TEST
34,5578,3003523,Mental Component Summary improvement,Certolizumab 400 mg,Control,continuous,,390,,199,45.4,11.5,41.1,10.8,Used values for MCS after 52 weeks (final timepoint).,FALSE,TRUE,FALSE,TRUE,12247,10091,7520,TEST
35,5579,3003523,Fatigue Assessment Scale improvement,Certolizumab 200 mg,Control,continuous,,393,,199,,,,,Values are in figure.,TRUE,FALSE,FALSE,FALSE,12247,10091,7520,TEST
36,6988,3169777,adverse event profile - headache,macitentan dose of 600 mg,placebo,binary,5,6,3,14,,,,,"Original outcome was ""adverse events profile"". Added ""headeache"" since that is the first adverse events reported.",FALSE,TRUE,FALSE,TRUE,5143,4376,3326,TEST
37,6985,3169777,unexpected adverse events,macitentan doses of 0.2 mg,placebo,binary,0,6,0,14,,,,,One sentence that said no unexpected adverse events were found so values are all 0 based on this.,FALSE,FALSE,FALSE,TRUE,5143,4376,3326,TEST
38,6985,3169777,unexpected adverse events,macitentan doses of 1 mg,placebo,binary,0,6,0,14,,,,,One sentence that said no unexpected adverse events were found so values are all 0 based on this.,FALSE,FALSE,FALSE,TRUE,5143,4376,3326,TEST
39,6985,3169777,unexpected adverse events,macitentan doses of 5 mg,placebo,binary,0,6,0,14,,,,,One sentence that said no unexpected adverse events were found so values are all 0 based on this.,FALSE,FALSE,FALSE,TRUE,5143,4376,3326,TEST
40,6985,3169777,unexpected adverse events,macitentan doses of 25 mg,placebo,binary,0,6,0,14,,,,,One sentence that said no unexpected adverse events were found so values are all 0 based on this.,FALSE,FALSE,FALSE,TRUE,5143,4376,3326,TEST
41,6985,3169777,unexpected adverse events,macitentan doses of 100 mg,placebo,binary,0,6,0,14,,,,,One sentence that said no unexpected adverse events were found so values are all 0 based on this.,FALSE,FALSE,FALSE,TRUE,5143,4376,3326,TEST
42,6985,3169777,unexpected adverse events,macitentan doses of 300 mg,placebo,binary,0,6,0,14,,,,,One sentence that said no unexpected adverse events were found so values are all 0 based on this.,FALSE,FALSE,FALSE,TRUE,5143,4376,3326,TEST
43,6985,3169777,unexpected adverse events,macitentan doses of 600 mg,placebo,binary,0,6,0,14,,,,,One sentence that said no unexpected adverse events were found so values are all 0 based on this.,FALSE,FALSE,FALSE,TRUE,5143,4376,3326,TEST
44,6986,3169777,Plasma endothelin-1 concentrations,macitentan dose of 600 mg,placebo,continuous,,6,,14,,,,,The mean and SD are in bar chart (figure),TRUE,FALSE,FALSE,FALSE,5143,4376,3326,TEST
45,6989,3169777,adverse event profile - headache,macitentan doses of 0.2 mg,placebo,binary,0,6,3,14,,,,,"Original outcome was ""adverse events profile"". Added ""headeache"" since that is the first adverse events reported.",FALSE,TRUE,FALSE,TRUE,5143,4376,3326,TEST
46,6989,3169777,adverse event profile - headache,macitentan doses of 1 mg,placebo,binary,0,6,3,14,,,,,"Original outcome was ""adverse events profile"". Added ""headeache"" since that is the first adverse events reported.",FALSE,TRUE,FALSE,TRUE,5143,4376,3326,TEST
47,6989,3169777,adverse event profile - headache,macitentan doses of 5 mg,placebo,binary,0,6,3,14,,,,,"Original outcome was ""adverse events profile"". Added ""headeache"" since that is the first adverse events reported.",FALSE,TRUE,FALSE,TRUE,5143,4376,3326,TEST
48,6989,3169777,adverse event profile - headache,macitentan doses of 25 mg,placebo,binary,2,6,3,14,,,,,"Original outcome was ""adverse events profile"". Added ""headeache"" since that is the first adverse events reported.",FALSE,TRUE,FALSE,TRUE,5143,4376,3326,TEST
49,6989,3169777,adverse event profile - headache,macitentan doses of 100 mg,placebo,binary,1,6,3,14,,,,,"Original outcome was ""adverse events profile"". Added ""headeache"" since that is the first adverse events reported.",FALSE,TRUE,FALSE,TRUE,5143,4376,3326,TEST
50,6989,3169777,adverse event profile - headache,macitentan doses of 300 mg,placebo,binary,2,6,3,14,,,,,"Original outcome was ""adverse events profile"". Added ""headeache"" since that is the first adverse events reported.",FALSE,TRUE,FALSE,TRUE,5143,4376,3326,TEST
51,5308,3195393,Continuous restraint,After restraint reduction program,Before restraint reduction program,continuous,,562,,463,8.5,0.07,10.8,0.13,Overall continuous restraint rate for study site.,FALSE,TRUE,FALSE,TRUE,15527,8380,5589,TEST
52,5306,3195393,Restraint frecuency,After restraint reduction program,Before restraint reduction program,continuous,,562,,463,13.6,0.07,11.5,0.13,Added intermittent and continuous numbers from study site,FALSE,TRUE,FALSE,TRUE,15527,8380,5589,TEST
53,5307,3195393,Intermittent restraint,After restraint reduction program,Before restraint reduction program,continuous,,562,,463,5.1,0.07,0.7,0.02,Overall intermittent restraint rate for study site.,FALSE,TRUE,FALSE,TRUE,15527,8380,5589,TEST
54,5309,3195393,Restraint knowledge,After restraint reduction program,Before restraint reduction program,continuous,,562,,463,6.23,,5.51,,No SD information provided,FALSE,FALSE,FALSE,FALSE,15527,8380,5589,TEST
55,10673,3276927,relieving factors in reversible inguinal hernia,post-Yoga,pre-Yoga,continuous,,19,,19,,,,,Data found in table in graphic format.,FALSE,TRUE,TRUE,FALSE,2011,1731,1429,DEV
56,10676,3276927,effective in the treatment of reversible inguinal hernia,post-Yoga,pre-Yoga,binary,,19,,19,,,,,"No real numerical data attached to this specific outcome. Other prompts account for ""treatment""",FALSE,FALSE,TRUE,FALSE,2011,1731,1429,DEV
57,10672,3276927,frequency of occurrence in reversible inguinal hernia,post-Yoga,pre-Yoga,continuous,,19,,19,,,,,Only median and range is given.,FALSE,TRUE,TRUE,FALSE,2011,1731,1429,DEV
58,10671,3276927,"symptoms of hernia such as heaviness, fullness and pain",post-Yoga,pre-Yoga,continuous,,19,,19,,,,,No specific numerical data associated with these symptoms.,FALSE,FALSE,TRUE,FALSE,2011,1731,1429,DEV
59,10674,3276927,pain in reversible inguinal hernia,post-Yoga,pre-Yoga,continuous,,19,,19,,,,,Only median and range is given.,FALSE,TRUE,TRUE,FALSE,2011,1731,1429,DEV
60,10675,3276927,aggravating factors in reversible inguinal hernia,post-Yoga,pre-Yoga,continuous,,19,,19,,,,,Only median and range is given.,FALSE,TRUE,TRUE,FALSE,2011,1731,1429,DEV
61,1642,3309311,differences in the disc herniation,"adults with acute axial severe LBP who could not sit up or stand up for several days, but had not experienced previous back-related diseases or trauma (group A)","adults who had been involved in a minor traffic accident, and had mild symptoms but not limited mobility (group B)",binary,20,23,6,19,,,,,Used percentage to calculate events as binary outcome.,FALSE,TRUE,TRUE,TRUE,1437,1263,1073,TEST
62,1642,3309311,differences in the LDD,"adults with acute axial severe LBP who could not sit up or stand up for several days, but had not experienced previous back-related diseases or trauma (group A)","adults who had been involved in a minor traffic accident, and had mild symptoms but not limited mobility (group B)",binary,23,23,9,19,,,,,Used percentage to calculate events as binary outcome. Outcome original HDD but changed to LDD to fix typo,FALSE,TRUE,TRUE,TRUE,1437,1263,1073,TEST
63,1642,3309311,differences in the annulus tear,"adults with acute axial severe LBP who could not sit up or stand up for several days, but had not experienced previous back-related diseases or trauma (group A)","adults who had been involved in a minor traffic accident, and had mild symptoms but not limited mobility (group B)",binary,23,23,5,19,,,,,Used percentage to calculate events as binary outcome.,FALSE,TRUE,TRUE,TRUE,1437,1263,1073,TEST
64,1642,3309311,differences in the HIZ,"adults with acute axial severe LBP who could not sit up or stand up for several days, but had not experienced previous back-related diseases or trauma (group A)","adults who had been involved in a minor traffic accident, and had mild symptoms but not limited mobility (group B)",binary,14,23,4,19,,,,,Used percentage to calculate events as binary outcome.,FALSE,TRUE,TRUE,TRUE,1437,1263,1073,TEST
65,1644,3309311,The proportion of HIZ incidence,"adults with acute axial severe LBP who could not sit up or stand up for several days, but had not experienced previous back-related diseases or trauma (group A)",adults with LBP with radicular pain (group C),binary,14,23,3,18,,,,,Used percentage to calculate events as binary outcome.,FALSE,FALSE,TRUE,TRUE,1437,1263,1073,TEST
66,1643,3309311,The proportion of HIZ incidence,"adults with acute axial severe LBP who could not sit up or stand up for several days, but had not experienced previous back-related diseases or trauma (group A)","adults who had been involved in a minor traffic accident, and had mild symptoms but not limited mobility (group B)",binary,14,23,4,19,,,,,Used percentage to calculate events as binary outcome.,FALSE,FALSE,TRUE,TRUE,1437,1263,1073,TEST
67,3041,3321528,wrist flexion,electrical muscle stimulation (EMS),control,continuous,,24,,28,,,,,Only median and interquartile range is given.,FALSE,TRUE,FALSE,FALSE,6725,3999,2880,TEST
68,3041,3321528,hip flexion,electrical muscle stimulation (EMS),control,continuous,,24,,28,,,,,Only median and interquartile range is given.,FALSE,TRUE,FALSE,FALSE,6725,3999,2880,TEST
69,3041,3321528,knee extension,electrical muscle stimulation (EMS),control,continuous,,24,,28,,,,,Only median and interquartile range is given.,FALSE,TRUE,FALSE,FALSE,6725,3999,2880,TEST
70,3041,3321528,ankle dorsiflexion,electrical muscle stimulation (EMS),control,continuous,,24,,28,,,,,Only median and interquartile range is given.,FALSE,TRUE,FALSE,FALSE,6725,3999,2880,TEST
71,3043,3321528,handgrip strength,Intensive Care Unit acquired weakness (ICU-AW),without an ICU-AW diagnosis,continuous,,,,,6.6,4.4,23.4,8.9,Does not have group size information in article.,FALSE,FALSE,FALSE,FALSE,6725,3999,2880,TEST
72,3042,3321528,the total MRC score of the legs,electrical muscle stimulation (EMS),control,continuous,,24,,28,,,,,Only median and interquartile range is given.,FALSE,FALSE,FALSE,FALSE,6725,3999,2880,TEST
73,3741,3546023,Urine cotinine levels,200 mg/day palmvitee smokers,200 mg/day palmvitee nonsmokers,continuous,,30,,19,1.179,0.738,0.047,0.017,Values are for week 24 (only timepoint after intervention).,FALSE,TRUE,FALSE,TRUE,29733,18035,11524,TEST
74,3742,3546023,serum α1-antitrypsin,200 mg/day palmvitee smokers,200 mg/day palmvitee nonsmokers,continuous,,30,,19,1.75,0.39,1.45,0.24,Values are for week 24 (only timepoint after intervention).,FALSE,TRUE,FALSE,TRUE,29733,18035,11524,TEST
75,3743,3546023,The percentage of B cells,200 mg/day palmvitee nonsmokers,baseline,continuous,,29,,29,11.97,4,13.72,4.53,Values are between baseline and week 24 (final timepoint).,FALSE,TRUE,FALSE,TRUE,29733,18035,11524,TEST
76,3744,3546023,The percentage of B cells,200 mg/day palmvitee smokers,baseline,continuous,,30,,30,14.06,3.81,14.4,4.03,Values are between baseline and week 24 (final timepoint).,FALSE,TRUE,FALSE,TRUE,29733,18035,11524,TEST
77,3746,3546023,The percentage of NK cells,200 mg/day palmvitee smokers,200 mg/day palmvitee nonsmokers,continuous,,30,,29,19.03,7.82,24.72,8.78,Values are between baseline and week 24 (final timepoint).,FALSE,TRUE,FALSE,TRUE,29733,18035,11524,TEST
78,3740,3546023,tocopherol levels,200 mg/day palmvitee smokers,baseline,continuous,,30,,30,14.11,3.89,11.39,3.06,Values are between baseline and week 24 (final timepoint).,FALSE,TRUE,FALSE,TRUE,29733,18035,11524,TEST
79,3740,3546023,tocotrienol levels,200 mg/day palmvitee smokers,baseline,continuous,,30,,30,587.68,87.5,59.49,4.21,Values are between baseline and week 24 (final timepoint).,FALSE,TRUE,FALSE,TRUE,29733,18035,11524,TEST
80,3740,3546023,tocopherol levels,200 mg/day palmvitee nonsmokers,baseline,continuous,,29,,29,14.56,3.06,11.75,2.27,Values are between baseline and week 24 (final timepoint).,FALSE,TRUE,FALSE,TRUE,29733,18035,11524,TEST
81,3740,3546023,tocotrienol levels,200 mg/day palmvitee nonsmokers,baseline,continuous,,29,,29,675.16,150,63.6,5.67,Values are between baseline and week 24 (final timepoint).,FALSE,TRUE,FALSE,TRUE,29733,18035,11524,TEST
82,3745,3546023,CD4+/CD8+ ratio,200 mg/day palmvitee smokers,200 mg/day palmvitee nonsmokers,continuous,,30,,29,1.19,0.43,1.03,0.53,Values are for week 24 (final timepoint).,FALSE,TRUE,FALSE,TRUE,29733,18035,11524,TEST
83,11789,3580751,mean ± SD length of hospital stay between periods 1 and 2 in patients who did not suffer from VAP,Interrupted surveillance unit A,"Continuous surveillance, unit B",continuous,,940,,1831,9.9,14.8,9.1,9.9,Values are from post-intervention.,FALSE,FALSE,FALSE,TRUE,5335,4760,3573,DEV
84,13566,3687098,adverse event of constipation,sitagliptin 100 mg/day,comparator agent,binary,178,7726,124,6885,,,,,Used incidence rate per 100 to get the binary events.,FALSE,TRUE,FALSE,TRUE,15196,10904,8432,TEST
85,13567,3687098,The incidence rates of malignancy,sitagliptin 100 mg/day,comparator agent,binary,6953,7726,6403,6885,,,,,Used incidence rate per 100 to get the binary events.,FALSE,FALSE,FALSE,TRUE,15196,10904,8432,TEST
86,13568,3687098,The incidence rates of pancreatitis,sitagliptin 100 mg/day,comparator agent,binary,773,7726,689,6885,,,,,Used incidence rate per 100 to get the binary events.,FALSE,TRUE,FALSE,TRUE,15196,10904,8432,TEST
87,13569,3687098,The incidence of the composite endpoint of rash,sitagliptin 100 mg/day,comparator agent,binary,131,7726,76,6885,,,,,Used incidence rate per 100 to get the binary events.,FALSE,TRUE,FALSE,TRUE,15196,10904,8432,TEST
88,13244,3751573,improvement in nursing,phase I externship program,phase II corporate-academic cooperation program,continuous,,19,,23,117.63,19.01,158.52,23.19,Used post-intervention values.,FALSE,TRUE,FALSE,TRUE,8149,5521,3635,DEV
89,5538,3912320,Correct response rate for 500 Hz frequency,Occupational noise,Control,continuous,,19,,10,,,,,Mean were in a figure and SD was not given anywhere.,TRUE,FALSE,FALSE,FALSE,1648,1217,1015,TEST
90,5540,3912320,"Correct response rate for 4,000 Hz frequency",Occupational noise,Control,continuous,,19,,10,,,,,Mean were in a figure and SD was not given anywhere.,TRUE,FALSE,FALSE,FALSE,1648,1217,1015,TEST
91,5539,3912320,"Correct response rate for 2,000 Hz frequency",Occupational noise,Control,continuous,,19,,10,,,,,Mean were in a figure and SD was not given anywhere.,TRUE,FALSE,FALSE,FALSE,1648,1217,1015,TEST
92,10164,4173437,Postoperatively hematocrit,Tranexamic acid,Control,continuous,,30,,30,,,,,Had to infer that the group sizes were equal. Data is in table in graphic format.,FALSE,TRUE,TRUE,FALSE,854,745,637,TEST
93,10166,4173437,Complications,Tranexamic acid,Control,binary,0,30,0,30,,,,,Had to infer that the group sizes were equal.,FALSE,FALSE,TRUE,TRUE,854,745,637,TEST
94,10167,4173437,Adverse effects,Tranexamic acid,Control,binary,0,30,0,30,,,,,Had to infer that the group sizes were equal.,FALSE,FALSE,TRUE,TRUE,854,745,637,TEST
95,10163,4173437,Total blood loss,Tranexamic acid,Control,continuous,,30,,30,576,53,823,74,Had to infer that the group sizes were equal.,FALSE,FALSE,TRUE,TRUE,854,745,637,TEST
96,10165,4173437,Coagulation profile,Tranexamic acid,Control,continuous,,30,,30,,,,,Had to infer that the group sizes were equal. Data is in table in graphic format.,FALSE,TRUE,TRUE,FALSE,854,745,637,TEST
97,10168,4173437,Crystalloid solution needed,Tranexamic acid,Control,continuous,,30,,30,,,,,Had to infer that the group sizes were equal. No numerical values associated with this outcome.,FALSE,FALSE,TRUE,FALSE,854,745,637,TEST
98,931,4183415,completion of each dose at the correct time,receive text message reminders about what advice to provide when dispensing artemether-lumefantrine (AL).,no text message,continuous,,40,,37,33.1,21.6,32.6,18.4,Data found in Table 6.,FALSE,TRUE,FALSE,TRUE,10420,7106,5310,TEST
99,929,4183415,patient adherence,receive text message reminders about what advice to provide when dispensing artemether-lumefantrine (AL).,no text message,continuous,,40,,37,68.3,23.4,69.8,20.9,"Data found in Table 6. Used same values as ""completed treatment""",FALSE,TRUE,FALSE,TRUE,10420,7106,5310,TEST
100,930,4183415,Completed treatment,receive text message reminders about what advice to provide when dispensing artemether-lumefantrine (AL).,no text message,continuous,,40,,37,68.3,23.4,69.8,20.9,Data found in Table 6.,FALSE,TRUE,FALSE,TRUE,10420,7106,5310,TEST
101,1886,4188762,heart rate,remifentanil,normal saline,continuous,,30,,30,,,,,,TRUE,FALSE,TRUE,FALSE,2068,1758,1564,TEST
102,1886,4188762,heart rate,remifentanil,lidocaine,continuous,,30,,30,,,,,,TRUE,FALSE,TRUE,FALSE,2068,1758,1564,TEST
103,1886,4188762,heart rate,remifentanil,ketamine,continuous,,30,,30,,,,,,TRUE,FALSE,TRUE,FALSE,2068,1758,1564,TEST
104,1885,4188762,mean blood pressure,remifentanil,normal saline,continuous,,30,,30,,,,,,TRUE,FALSE,TRUE,FALSE,2068,1758,1564,TEST
105,1885,4188762,mean blood pressure,remifentanil,lidocaine,continuous,,30,,30,,,,,,TRUE,FALSE,TRUE,FALSE,2068,1758,1564,TEST
106,1885,4188762,mean blood pressure,remifentanil,"normal saline, lidocaine, or ketamine",continuous,,30,,30,,,,,,TRUE,FALSE,TRUE,FALSE,2068,1758,1564,TEST
107,1884,4188762,withdrawal response of rocuronium,lidocaine,normal saline,binary,6,30,26,30,,,,,Used percentage to calculate events as binary outcome.,FALSE,FALSE,TRUE,TRUE,2068,1758,1564,TEST
108,1884,4188762,withdrawal response of rocuronium,ketamine,normal saline,binary,9,30,26,30,,,,,Used percentage to calculate events as binary outcome.,FALSE,FALSE,TRUE,TRUE,2068,1758,1564,TEST
109,1884,4188762,withdrawal response of rocuronium,remifentanil,normal saline,binary,0,30,26,30,,,,,Used percentage to calculate events as binary outcome.,FALSE,FALSE,TRUE,TRUE,2068,1758,1564,TEST
110,9521,4319071,High-energy snack intake,Individual cognition and self-regulation processes intervention,Control,continuous,,459,,434,2.5,2.79,2.84,2.71,Values are from 4-month follow up (final timepoint). Back calculated the SD values from SE.,FALSE,TRUE,FALSE,TRUE,26475,16822,9628,TEST
111,9522,4319071,High-energy snack intake,Intervention + targeting environmental-level factors,Control,continuous,,456,,434,2.5,2.76,2.84,2.71,Values are from 4-month follow up (final timepoint). Back calculated the SD values from SE.,FALSE,TRUE,FALSE,TRUE,26475,16822,9628,TEST
112,9525,4319071,Vegetable intake,Intervention + targeting environmental-level factors,Control,continuous,,456,,434,167.61,83.71,158.67,78.33,Values are from 4-month follow up (final timepoint). Back calculated the SD values from SE.,FALSE,TRUE,FALSE,TRUE,26475,16822,9628,TEST
113,9526,4319071,Vegetable intake,Intervention + targeting environmental-level factors,Individual cognition and self-regulation processes intervention,continuous,,456,,459,167.61,83.71,173.28,81.63,Values are from 4-month follow up (final timepoint). Back calculated the SD values from SE.,FALSE,TRUE,FALSE,TRUE,26475,16822,9628,TEST
114,9523,4319071,Fruit intake,Intervention + targeting environmental-level factors,Control,continuous,,456,,434,2.17,1.71,2,1.67,Values are from 4-month follow up (final timepoint). Back calculated the SD values from SE.,FALSE,TRUE,FALSE,TRUE,26475,16822,9628,TEST
115,9524,4319071,Fruit intake,Intervention + targeting environmental-level factors,Individual cognition and self-regulation processes intervention,continuous,,456,,459,2.17,1.71,2.14,1.71,Values are from 4-month follow up (final timepoint). Back calculated the SD values from SE.,FALSE,TRUE,FALSE,TRUE,26475,16822,9628,TEST
116,2982,4323894,Improvement in Glasgow outcome score at 6 months post-trauma,Deep-cooling,Mild-cooling,continuous,,9,,10,,,70,,,FALSE,TRUE,TRUE,FALSE,3049,2670,2328,TEST
117,2983,4323894,Improvement in Glasgow outcome score at 6 months post-trauma,Deep-cooling,No cooling,continuous,,9,,13,,,15.4,,,FALSE,TRUE,TRUE,FALSE,3049,2670,2328,TEST
118,2984,4323894,Rate of complications,Mild-cooling or deep-cooling,No cooling,binary,,10,,13,,,,,,FALSE,TRUE,TRUE,FALSE,3049,2670,2328,TEST
119,2981,4323894,Improvement in Glasgow outcome score at 6 months post-trauma,Mild-cooling,No cooling,continuous,,10,,13,70,,15.4,,,FALSE,TRUE,TRUE,FALSE,3049,2670,2328,TEST
120,3102,4450164,ureteropelvic junction obstruction,internal drainage group,stentless cases,binary,8,20,13,44,,,,,,FALSE,TRUE,FALSE,TRUE,3862,2242,1567,DEV
